ticker,date,title,description,content,source,url,cleaned_text,sentiment_score,sentiment_category,Open,High,Low,Close,Volume,sentiment_score_lag_1,sentiment_score_lag_3,sentiment_score_lag_7
GOOGL,2024-09-05 20:02:15,"Stock market today: Dow, S&P 500 continue September swoon ahead of pivotal jobs report",Labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy.,"Thursday night will serve as the kickoff to the 2024 NFL season.
It was only three years ago the NFL signed a media rights deal that welcomed Amazon Prime Video (AMZN) into the fold as the exclusive… [+3028 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-continue-september-swoon-ahead-of-pivotal-jobs-report-200215727.html/,stock market today dow sp  continue september swoon ahead of pivotal jobs report labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy,0.0,Neutral,157.3,157.83,150.55,150.92,37912130.0,0.0770833333333333,,
MSFT,2024-09-06 03:03:35,Prediction: Microsoft Azure To Reach $200 Billion In Revenue By 2028,"Microsoft Azure is predicted to more than double, spelling good things for MSFT stock. Azure's reporting metrics changed resulting in higher AI contribution and growth","BELLEVUE, WA - NOVEMBER 28: Microsoft CEO Satya Nadella smiles during the question and answer ... [+] portion of the Microsoft Annual Shareholders Meeting at the Meydenbauer Center on November 28, 20… [+22142 chars]","{'id': None, 'name': 'Forbes'}",https://www.forbes.com/sites/bethkindig/2024/09/05/prediction-microsoft-azure-to-reach-200-billion-in-revenue-by-2028/,prediction microsoft azure to reach  billion in revenue by  microsoft azure is predicted to more than double spelling good things for msft stock azures reporting metrics changed resulting in higher ai contribution and growth,0.3625,Positive,409.06,410.65,400.8,401.7,19609526.0,0.6666666666666666,,
MSFT,2024-09-06 18:38:34,My Secret Weapon For Calling The Top In NVDA,"While everyone else was cheering Nvidia’s (NVDA) stock back to new heights this week, I called the top for the stock first thing Monday August 26th.","August 9, 2019 Santa Clara / CA / USA - One of the Nvidia office buildings located in the Company's ... [+] campus in Silicon Valley; the NVIDIA logo and symbol displayed on the facade
getty
While … [+19921 chars]","{'id': None, 'name': 'Forbes'}",https://www.forbes.com/sites/greatspeculations/2024/09/06/my-secret-weapon-for-calling-the-top-in-nvda/,my secret weapon for calling the top in nvda while everyone else was cheering nvidias nvda stock back to new heights this week i called the top for the stock first thing monday august th,0.1643939393939394,Positive,409.06,410.65,400.8,401.7,19609526.0,0.3625,,
AAPL,2024-09-06 18:38:34,My Secret Weapon For Calling The Top In NVDA,"While everyone else was cheering Nvidia’s (NVDA) stock back to new heights this week, I called the top for the stock first thing Monday August 26th.","August 9, 2019 Santa Clara / CA / USA - One of the Nvidia office buildings located in the Company's ... [+] campus in Silicon Valley; the NVIDIA logo and symbol displayed on the facade
getty
While … [+19921 chars]","{'id': None, 'name': 'Forbes'}",https://www.forbes.com/sites/greatspeculations/2024/09/06/my-secret-weapon-for-calling-the-top-in-nvda/,my secret weapon for calling the top in nvda while everyone else was cheering nvidias nvda stock back to new heights this week i called the top for the stock first thing monday august th,0.1643939393939394,Positive,223.95,225.24,219.77,220.82,48423011.0,,,
NVDA,2024-09-06 18:38:34,My Secret Weapon For Calling The Top In NVDA,"While everyone else was cheering Nvidia’s (NVDA) stock back to new heights this week, I called the top for the stock first thing Monday August 26th.","August 9, 2019 Santa Clara / CA / USA - One of the Nvidia office buildings located in the Company's ... [+] campus in Silicon Valley; the NVIDIA logo and symbol displayed on the facade
getty
While … [+19921 chars]","{'id': None, 'name': 'Forbes'}",https://www.forbes.com/sites/greatspeculations/2024/09/06/my-secret-weapon-for-calling-the-top-in-nvda/,my secret weapon for calling the top in nvda while everyone else was cheering nvidias nvda stock back to new heights this week i called the top for the stock first thing monday august th,0.1643939393939394,Positive,108.04,108.15,100.95,102.83,413638098.0,0.0333333333333333,,
GOOGL,2024-09-06 21:30:23,Trade Overview: Where Gurus Found Value in the 2nd Quarter,GuruFocus portfolio data reveals what stocks investors liked in the first half of 2024,"With the latest round of 13F filings released over the past month, investors and market watchers alike are interested in seeing where the major hedge fund managers are finding value opportunities.
B… [+12589 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/trade-overview-where-gurus-found-213023932.html,trade overview where gurus found value in the nd quarter gurufocus portfolio data reveals what stocks investors liked in the first half of ,0.2277777777777777,Positive,157.3,157.83,150.55,150.92,37912130.0,0.0,-0.1,
AMZN,2024-09-07 12:00:00,DoorDash Leads 5 Stocks Near Buy Points As Market Drops,Beef up your watchlists with stocks showing resilience right now.,"When the market is struggling, as it is now, investors should look for stocks holding up relatively well.  DoorDash (DASH), Interactive Brokers (IBKR), Tyler Technologies (TYL) and Freshpet (FRPT) ar… [+5130 chars]","{'id': None, 'name': ""Investor's Business Daily""}",https://www.investors.com/news/doordash-stocks-near-buy-points/,doordash leads  stocks near buy points as market drops beef up your watchlists with stocks showing resilience right now,0.1928571428571428,Positive,,,,,,0.0,0.0333333333333333,
TSLA,2024-09-07 20:42:38,Dow Jones Futures: Stock Market Has Worst Week In Over A Year; Apple iPhone 16 On Deck,Apple unveils the iPhone 16 as well as Adobe and Oracle earnings.,"Dow Jones futures will open Sunday evening, along with S&amp;P 500 futures and Nasdaq futures. Apple (AAPL) will unveil the iPhone 16, headlining key AI events along with earnings from Oracle (ORCL) … [+8071 chars]","{'id': None, 'name': ""Investor's Business Daily""}",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-bearish-signals-apple-iphone-16-ai-events/,dow jones futures stock market has worst week in over a year apple iphone  on deck apple unveils the iphone  as well as adobe and oracle earnings,-1.0,Negative,,,,,,0.0333333333333333,,
AAPL,2024-09-07 20:42:38,Dow Jones Futures: Stock Market Has Worst Week In Over A Year; Apple iPhone 16 On Deck,Apple unveils the iPhone 16 as well as Adobe and Oracle earnings.,"Dow Jones futures will open Sunday evening, along with S&amp;P 500 futures and Nasdaq futures. Apple (AAPL) will unveil the iPhone 16, headlining key AI events along with earnings from Oracle (ORCL) … [+8071 chars]","{'id': None, 'name': ""Investor's Business Daily""}",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-bearish-signals-apple-iphone-16-ai-events/,dow jones futures stock market has worst week in over a year apple iphone  on deck apple unveils the iphone  as well as adobe and oracle earnings,-1.0,Negative,,,,,,0.1643939393939394,,
NVDA,2024-09-07 20:42:38,Dow Jones Futures: Stock Market Has Worst Week In Over A Year; Apple iPhone 16 On Deck,Apple unveils the iPhone 16 as well as Adobe and Oracle earnings.,"Dow Jones futures will open Sunday evening, along with S&amp;P 500 futures and Nasdaq futures. Apple (AAPL) will unveil the iPhone 16, headlining key AI events along with earnings from Oracle (ORCL) … [+8071 chars]","{'id': None, 'name': ""Investor's Business Daily""}",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-bearish-signals-apple-iphone-16-ai-events/,dow jones futures stock market has worst week in over a year apple iphone  on deck apple unveils the iphone  as well as adobe and oracle earnings,-1.0,Negative,,,,,,0.1643939393939394,,
TSLA,2024-09-07 23:21:01,"Tesla, Inc. (TSLA): Do Short Sellers Recommend This Autonomous Driving Stock Now?","We recently compiled a list of the 10 Best Autonomous Driving Stocks To Buy According To Short Sellers. In this article, we are going to take a look at where...","We recently compiled a list of the 10 Best Autonomous Driving Stocks To Buy According To Short Sellers. In this article, we are going to take a look at where Tesla, Inc. (NASDAQ:TSLA) stands against … [+10181 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/tesla-inc-tsla-short-sellers-232101937.html,tesla inc tsla do short sellers recommend this autonomous driving stock now we recently compiled a list of the  best autonomous driving stocks to buy according to short sellers in this article we are going to take a look at where,0.3,Positive,,,,,,-1.0,0.25,
GOOGL,2024-09-08 01:18:18,Alphabet Inc. (GOOGL): Do Short Sellers Buy This Autonomous Driving Stock Now?,"We recently compiled a list of the 10 Best Autonomous Driving Stocks To Buy According To Short Sellers. In this article, we are going to take a look at where...","We recently compiled a list of the 10 Best Autonomous Driving Stocks To Buy According To Short Sellers. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands again… [+9740 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/alphabet-inc-googl-short-sellers-011818426.html,alphabet inc googl do short sellers buy this autonomous driving stock now we recently compiled a list of the  best autonomous driving stocks to buy according to short sellers in this article we are going to take a look at where,0.3,Positive,152.51,153.4,147.215,148.71,39260451.0,0.2277777777777777,0.0770833333333333,
MSFT,2024-09-08 01:19:16,Microsoft Corporation (MSFT): Do Short Sellers Recommend This Autonomous Driving Stock Now?,,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_344d8a34-8e00-4fc3-a4a4-be750fc1fdb3,microsoft corporation msft do short sellers recommend this autonomous driving stock now ,0.2,Positive,407.24,408.65,402.15,405.72,15295134.0,0.1643939393939394,0.6666666666666666,
GOOGL,2024-09-08 05:20:53,Alphabet Inc. (GOOGL): Short Sellers Are Bullish On This Cloud Stock Now,"We recently compiled a list of the 10 Best Cloud Stocks To Buy According to Short Sellers. In this article, we are going to take a look at where Alphabet Inc...","We recently compiled a list of the 10 Best Cloud Stocks To Buy According to Short Sellers. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against the other … [+10225 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/alphabet-inc-googl-short-sellers-052053389.html,alphabet inc googl short sellers are bullish on this cloud stock now we recently compiled a list of the  best cloud stocks to buy according to short sellers in this article we are going to take a look at where alphabet inc,0.25,Positive,152.51,153.4,147.215,148.71,39260451.0,0.3,0.0,
MSFT,2024-09-08 05:29:28,Microsoft Corporation (MSFT): Why Are Short Sellers Bullish On This Cloud Stock?,"We recently compiled a list of the 10 Best Cloud Stocks To Buy According to Short Sellers. In this article, we are going to take a look at where Microsoft...","We recently compiled a list of the 10 Best Cloud Stocks To Buy According to Short Sellers. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against the… [+10227 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/microsoft-corporation-msft-why-short-052928389.html/,microsoft corporation msft why are short sellers bullish on this cloud stock we recently compiled a list of the  best cloud stocks to buy according to short sellers in this article we are going to take a look at where microsoft,0.25,Positive,407.24,408.65,402.15,405.72,15295134.0,0.2,0.3625,
AMZN,2024-09-08 05:31:34,"Amazon.com, Inc. (AMZN): Among The Best Cloud Stocks To Buy According to Short Sellers?","We recently compiled a list of the 10 Best Cloud Stocks To Buy According to Short Sellers. In this article, we are going to take a look at where Amazon.com, ...","We recently compiled a list of the 10 Best Cloud Stocks To Buy According to Short Sellers. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against the othe… [+10079 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/amazon-com-inc-amzn-among-053134971.html,amazoncom inc amzn among the best cloud stocks to buy according to short sellers we recently compiled a list of the  best cloud stocks to buy according to short sellers in this article we are going to take a look at where amazoncom ,0.4,Positive,174.53,175.85,173.51,175.4,29037362.0,0.1928571428571428,0.0,
TSLA,2024-09-08 06:44:50,Jim Cramer Recommends Buying Tesla Inc. (TSLA) Shares Before The Robitaxi Event Set For October 10th,"We recently published a list of 10 Large Cap Stocks Jim Cramer Can’t Stop Talking About. In this article, we are going to take a look at where Tesla Inc...","We recently published a list of 10 Large Cap Stocks Jim Cramer Cant Stop Talking About. In this article, we are going to take a look at where Tesla Inc. (NASDAQ:TSLA) stands against the other large c… [+8368 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/jim-cramer-recommends-buying-tesla-064450047.html,jim cramer recommends buying tesla inc tsla shares before the robitaxi event set for october th we recently published a list of  large cap stocks jim cramer cant stop talking about in this article we are going to take a look at where tesla inc,0.1071428571428571,Positive,216.2,219.87,213.67,216.27,67443518.0,0.3,0.0333333333333333,
GOOGL,2024-09-08 07:53:52,Alphabet Inc. (GOOGL): Should You Buy This ESG Stock Now?,,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4a7432bf-53d2-4235-837f-83e0bf388f14,alphabet inc googl should you buy this esg stock now ,0.0,Neutral,152.51,153.4,147.215,148.71,39260451.0,0.25,0.2277777777777777,
AMZN,2024-09-08 07:59:29,"Amazon.com, Inc. (AMZN): Did This ESG Stock Receive a Good Rating from Analysts?","We recently compiled a list of the 10 Best ESG Stocks To Buy Now. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands...","We recently compiled a list of the 10 Best ESG Stocks To Buy Now. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against the other ESG stocks.
Defining E… [+8795 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/amazon-com-inc-amzn-did-075929961.html,amazoncom inc amzn did this esg stock receive a good rating from analysts we recently compiled a list of the  best esg stocks to buy now in this article we are going to take a look at where amazoncom inc nasdaqamzn stands,0.5666666666666667,Positive,174.53,175.85,173.51,175.4,29037362.0,0.4,0.0,
MSFT,2024-09-08 08:04:09,Microsoft Corporation (MSFT): Assessing Its Strength Among the Best ESG Stocks to Buy Now,"We recently compiled a list of the 10 Best ESG Stocks To Buy Now. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT...","We recently compiled a list of the 10 Best ESG Stocks To Buy Now. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against the other ESG stocks.Definin… [+8122 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/microsoft-corporation-msft-assessing-strength-080409029.html/,microsoft corporation msft assessing its strength among the best esg stocks to buy now we recently compiled a list of the  best esg stocks to buy now in this article we are going to take a look at where microsoft corporation nasdaqmsft,0.6666666666666666,Positive,407.24,408.65,402.15,405.72,15295134.0,0.25,0.1643939393939394,
NVDA,2024-09-08 15:12:01,3 Stocks Outside of Nvidia to Buy Amid the Tech Sell-Off,"3 Stocks Outside of Nvidia to Buy Amid the Tech Sell-Off The Motley Fool
If I Could Buy Only 1 Chip Stock Other Than Nvidia in September, This Would Be My Top Choice Yahoo Finance
Forget Nvidia: These 2 Stock-Split Stocks Could Be Better Buys The Motley Fool
…","3 Stocks Outside of Nvidia to Buy Amid the Tech Sell-Off The Motley FoolIf I Could Buy Only 1 Chip Stock Other Than Nvidia in September, This Would Be My Top Choice Yahoo FinanceForget Nvidia: These … [+136 chars]","{'id': None, 'name': 'Biztoc.com'}",https://biztoc.com/x/047e6c2a9c1761f5," stocks outside of nvidia to buy amid the tech selloff  stocks outside of nvidia to buy amid the tech selloff the motley fool
if i could buy only  chip stock other than nvidia in september this would be my top choice yahoo finance
forget nvidia these  stocksplit stocks could be better buys the motley fool
",0.259375,Positive,104.88,106.55,103.69,106.47,273912015.0,-1.0,0.0333333333333333,
NVDA,2024-09-08 15:32:00,5 Small Caps Yielding 9%-15%: Hidden Values Or Overlooked Trash?,Select small caps pay serious dividends. I’m talking about yields between 9.1% and 14.7%. But are these value stocks? Or are they merely cheap for a reason?,"Cropped shot of a garbage collection worker
getty
The index huggers are, rightfully, fretting about the only position they own, the S&amp;P 500, which is heavy on Nvidia (NVDA). The soon-to-be-fall… [+8495 chars]","{'id': None, 'name': 'Forbes'}",https://www.forbes.com/sites/brettowens/2024/09/08/5-small-caps-yielding-9-15-hidden-values-or-overlooked-trash/, small caps yielding  hidden values or overlooked trash select small caps pay serious dividends im talking about yields between  and  but are these value stocks or are they merely cheap for a reason,-0.12,Negative,104.88,106.55,103.69,106.47,273912015.0,0.259375,0.1643939393939394,
AMZN,2024-09-08 20:28:24,"Amazon.com, Inc. (AMZN): A Magic Formula Stock You Should Pay Attention To",,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_e83c96f0-10e6-4030-b3ad-0ad105efa482,amazoncom inc amzn a magic formula stock you should pay attention to ,0.5,Positive,174.53,175.85,173.51,175.4,29037362.0,0.5666666666666667,0.1928571428571428,0.6666666666666666
GOOGL,2024-09-08 20:31:08,Alphabet Inc. (GOOGL): A Magic Formula Stock You Should Pay Attention To,"We recently compiled a list of the 10 Best Magic Formula Stocks For The Rest Of 2024. In this article, we are going to take a look at where Alphabet Inc...","We recently compiled a list of the 10 Best Magic Formula Stocks For The Rest Of 2024. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against the other magic… [+8893 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/alphabet-inc-googl-magic-formula-203108300.html/,alphabet inc googl a magic formula stock you should pay attention to we recently compiled a list of the  best magic formula stocks for the rest of  in this article we are going to take a look at where alphabet inc,0.5,Positive,152.51,153.4,147.215,148.71,39260451.0,0.0,0.3,-0.1
MSFT,2024-09-08 20:44:28,Microsoft Corporation (MSFT): A Magic Formula Stock You Should Pay Attention To,,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d6221d8e-d7df-4a24-a26b-f7e861009641,microsoft corporation msft a magic formula stock you should pay attention to ,0.5,Positive,407.24,408.65,402.15,405.72,15295134.0,0.6666666666666666,0.2,
GOOGL,2024-09-08 23:48:32,Alphabet Inc. (GOOGL) vs. Small-Cap Agriculture Stocks: Evaluating the Top Picks for the Next Decade,"We recently compiled a list of the 10 Unrivaled Stocks of the Next 10 Years. In this article, we are going to take a look at where Alphabet Inc...","We recently compiled a list of the 10 Unrivaled Stocks of the Next 10 Years. In this article, we are going to take a look at where Alphabet Inc. (NASDAQ:GOOGL) stands against the other unrivaled stoc… [+7779 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/alphabet-inc-googl-vs-small-234832851.html,alphabet inc googl vs smallcap agriculture stocks evaluating the top picks for the next decade we recently compiled a list of the  unrivaled stocks of the next  years in this article we are going to take a look at where alphabet inc,0.125,Positive,152.51,153.4,147.215,148.71,39260451.0,0.5,0.25,0.0770833333333333
TSLA,2024-09-09 02:15:49,"Is Tesla, Inc. (TSLA) The Best Automotive Stock To Buy Now?",,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_bef6b99d-186d-4750-b6b2-9406c007c5a4,is tesla inc tsla the best automotive stock to buy now ,1.0,Positive,216.2,219.87,213.67,216.27,67443518.0,0.1071428571428571,-1.0,
TSLA,2024-09-09 11:14:17,"Dow Jones Futures Signal Market Bounce: Apple iPhone 16 On Tap; Palantir, Dell Jump (Live Coverage)",The Apple iPhone 16 unveiling and Oracle earnings kick off the week.,"Dow Jones futures rose solidly early Monday, along with S&amp;P 500 futures and Nasdaq futures. Apple (AAPL), Oracle (ORCL), Palantir Technologies (PLTR), Dell Technologies (DELL) and Tesla (TSLA) wi… [+7812 chars]","{'id': None, 'name': ""Investor's Business Daily""}",https://www.investors.com/market-trend/stock-market-today/dow-jones-futures-apple-iphone-16-palantir-dell-jump-sp-500/,dow jones futures signal market bounce apple iphone  on tap palantir dell jump live coverage the apple iphone  unveiling and oracle earnings kick off the week,0.1363636363636363,Positive,216.2,219.87,213.67,216.27,67443518.0,1.0,0.3,
